latitude,longitude,historic,start_date,ref:mhs,wikidata,name,mhs:inscription_date,wikipedia
42.6684,2.5962,,11C,PA00104033,Q2957168,Ancienne chapelle Saint-Sauveur de Casenoves,1955-06-06 ,fr:Chapelle de Casenoves
42.5205,3.1072,,20C,PA00104186,Q3224770,Monument aux morts,1994-03-17 ,fr:Monument aux morts de Port-Vendres
42.4953,2.7441,bridge,,PA00103991,Q1514576,Pont sur le Tech,1840 ,fr:Pont du Diable (Céret)
42.6974,2.8997,,16C,PA00104085,Q22954320,Museum,1964-10-09 ,
42.471685,2.670482,,19C,PA66000018,Q15950369,Ancien hôpital thermal des armées,2007-01-15 ,fr:Hôpital thermal des armées (Amélie-les-Bains-Palalda)
42.4856,2.7471,,,PA00103992,Q16964763,Ancien portal de France,1949-11-16 ,fr:Portal de France
42.796198,3.039444,,20C,PA00132871,Q15945186,Cabane de pêcheur,1994-12-30 ,fr:Cabane de pêcheur de Coudalère
42.5831,2.4178,tower,yes,PA00104139,Q3584611,Tour de Cours,1983-03-21 ,fr:Église Saint-Valentin de Corts
42.5613,2.4087,place_of_worship,christian,PA00104026,Q3581495,Église Saint-Félix,1941-02-20 ,fr:Église Saint-Félix de Fillols
42.58694,2.3675,,13C,PA00104150,Q18201447,Ancien hôpital,1965-09-09 ,
42.4534,2.4967,,11C,PA66000026,Q3056753,Ermitage Saint-Guilhem de Combret,2009-12-07 ,fr:Ermitage Saint-Guillem de Combret
42.7068,3.0086,yes,12C,PA00103978,Q2968759,Ruines de l'ancien château,1984-12-05 ,fr:Château de Canet-en-Roussillon
42.6141,2.103,place_of_worship,christian,PA00104029,Q3585244,Église Sainte-Nativité-Notre-Dame,1913-09-10 ,fr:Église Sainte-Nativité-Notre-Dame de Formiguères
42.587243,2.368594,building,,PA00104153,Q22954347,Maison Alazet,1983-12-09 ,
42.8394,2.755,,,PA00104141,Q1643777,Grotte de la Caune de l'Arago,1965-04-21 ,fr:Caune de l'Arago
42.5948,2.4172,,12C,PA00103995,Q306121,Ancienne abbaye de Saint-Michel de Cuxa ou Cuixà,1958-04-15 ,fr:Abbaye Saint-Michel de Cuxa
42.5187,3.1149,,17C,PA00104097,Q20669633,Redoute Béar,1933-06-06 ,fr:Redoute Béar
42.5664,2.3203,place_of_worship,christian,PA00104189,Q3581308,Église paroissiale Saint-Côme-et-Damien,1991-08-07 ,fr:Église Saint-Côme-et-Saint-Damien de Serdinya
42.4793,1.9262,yes,13C,PA00104010,Q2956565,Chapelle Notre-Dame-de-Belloch ou chapelle de Bailloc ou Belloc,1980-12-31 ,fr:Chapelle Notre-Dame-de-Belloch
42.367678,2.541178,,13C,PA00104133,Q15622256,Tours de Cabrenc (également sur commune de Lamanère),,fr:Tours de Cabrenç
42.586892,2.368771,building,12C,PA00104157,Q22954353,Maison Carreras,1965-10-21 ,
42.5312,3.0792,fort,18C,PA00104002,Q22954278,Fort carré et tour de l'Etoile,1991-02-11 ,
42.4708,2.6645,,17C,PA00103955,Q3077748,Fort-les-Bains,1909-12-18 ,fr:Fort-les-Bains
42.3655,2.5416,,,PA00132963,Q15622256,Tours de Cabrenc,,fr:Tours de Cabrenç
42.6998,2.8941,building,15C,PA00104082,Q19256131,,1889 ,
42.5434,2.9219,,,PA00104116,Q334153,Restes du cloître,,fr:Abbaye de Saint-Génis-des-Fontaines
42.5624,2.6256,place_of_worship,christian,PA66000016,Q3584823,Église Saint-Etienne de Prunet,,fr:Église Saint-Étienne de Prunet
42.5794,2.4287,place_of_worship,christian,PA00104138,Q3581483,Église Saint-Fructueux,,fr:Église Saint-Fructueux de Taurinya
42.805412,2.761838,tower,yes,PA00104142,Q11952318,Tour del Far,1986-03-17 ,fr:Tour del Far
42.6722,2.6204,place_of_worship,christian,PA00104036,Q15954110,Église des Carmes,1984-09-13 ,fr:Église des Carmes d'Ille-sur-Têt
42.6905,2.6299,,,PA00125501,Q3581240,Ancien monastère Saint-Clément de Régleille,1993-07-09 ,fr:Monastère Saint-Clément de Reglella
42.7737,2.7045,place_of_worship,christian,PA00104023,Q17583335,Église Saint-Vincent-et-Saint-Etienne,1926-04-24 ,fr:Église Saint-Vincent-et-Saint-Étienne d'Estagel
42.6722,2.6197,wayside_cross,16C,PA00104035,Q22954288,Croix de cimetière en pierre,1892-11-03 ,
42.59,2.3647,fort,17C,PA00104149,Q744309,Fort Libéria (également sur commune de Fuilla),2009-04-30 ,fr:Fort Libéria
42.784614,2.967199,,1C,PA00104119,Q2984324,Colonne milliaire,1892-02-12 ,fr:Colonne milliaire de Saint-Hippolyte
42.6985,2.9026,place_of_worship,christian,PA00104075,Q3581873,Église Saint-Jacques,1987-01-27 ,fr:Église Saint-Jacques de Perpignan
42.398548,2.556497,,19C,PA00104131,Q16543433,Le Conjurador,1987-04-09 ,fr:Conjurador de Serralongue
42.5995,2.97,,16C,PA00104011,Q22954279,Arc sur l'impasse,1972-12-19 ,
42.5244,3.0296,archaeological_site,megalith,PA00103956,Q3001820,Dolmen dit Cava de l'Alarb,1958-11-03 ,fr:Cova de l'Alarb (Argelès-sur-Mer)
42.5668,2.3812,,11C,PA00104006,Q20104678,Ancien château des Comtes de Conflent-Cerdagne,1973-05-08 ,
42.586615,2.365837,building,14C,PA00104154,Q22954348,Maison Autié,1965-11-03 ,
42.6503,2.6575,castle,10C,PA00104004,Q15940488,,1974-10-01 ,fr:Château de Corbère
42.7675,2.69305,, 5C,PA00104022,Q15948415,Ancien cimetière wisigothique,2005-03-29 ,fr:Cimetière wisigothique d'Estagel
42.648,2.6497,yes,17C,PA00104034,Q22954287,Chapelle Saint-Maurice,1927-10-24 ,fr:Ermitage Saint-Maurice de Greulera
