latitude,longitude,historic,start_date,ref:mhs,wikidata,name,heritage,mhs:inscription_date,wikipedia
43.94806,4.80748,building,,PA00081910,Q22919008,,3,1949-10-28 ,
43.947,4.80343,building,C18,PA00081881,Q22916676,Hôtel de Villeneuve-Martignan,2,1963-10-01 ,fr:Musée Calvet
44.060083,5.058668,,C17,PA00081995,Q13518450,Aqueduc,2,1947-12-17 ,fr:Aqueduc de Carpentras
46.5958,-1.4046,castle,C16,PA85000034,Q22999023,Château de Nesmy,3,2008-12-08 ,fr:Château de Nesmy
46.7406,-1.0314,,C18,PA85000037,Q22999029,Logis des Grois,3,2010-10-05 ,
46.3925,-0.8063,place_of_worship,christian,PA00110087,Q22994784,,3,1989-02-06 ,
46.6824,-0.8435,castle,manor,PA00110235,Q22963082,Manoir du Vigneau,3,1984-07-11 ,
46.5296,-0.6834,building,C16,PA00110294,Q22963143,Maison dite de François Laurens,3,1989-04-10 ,
46.46726,-0.805639,building,C16,PA00110108,Q3389719,,2,1942-10-29 ,
46.4894,-1.4366,castle,C16,PA00110176,Q22963028,Château de la Cantaudière,2,1978-12-28 ,fr:Château de la Cantaudière
46.5129,-0.8483,castle,C16,PA00110270,Q22963114,Château de la Girardie,,,
46.6528,-1.8581,castle,,PA00110059,Q2968479,Château de Beaumarchais,3,1962-06-27 ,fr:Château de Beaumarchais
46.8266,-0.9352,castle,C17,PA00110258,Q22963102,Château de la Bonnelière,3,1972-10-23 ,fr:Château de la Bonnelière
46.5067,-0.9484,place_of_worship,christian,PA00110200,Q3584347,Église Saint-Rémi,2,1906-11-14 ,fr:Église Saint-Rémi de Pouillé
46.676,-0.9621,archaeological_site,megalith,PA00110034,Q22962911,Dolmen dit des Landes ou Allée couverte de la Pierre Levée,2,1927-05-10 ,
46.8515,-1.1747,building,C17,PA00110232,Q22963079,Immeuble Le Donjon,3,1987-02-10 ,
46.8021,-1.6204,castle,C13,PA00110195,Q22963043,,3,1998-05-20 ,
47.0261,-2.271,monastery,abbey,PA00110181,Q1775449,Abbaye de la Blanche,,,
46.887,-2.1115,,C17,PA00110033,Q22962910,Ouvrages d'art situés sur le canal de la Taillée (également sur commune de Notre-Dame-de-Monts),3,1988-07-27 ,
46.4913,-1.4262,,C18,PA00110178,Q22963030,Halles,3,1943-09-08 ,
46.9997,-2.2455,building,C18,PA85000053,Q22999060,Hôtel Jacobsen,3,2013-06-28 ,
46.9081,-2.1602,,,PA00110031,Q22962908,Moulin à vent de la Fosse,3,1977-02-23 ,
47.0139,-1.1161,,C12,PA00110282,Q22963127,Ancienne église Saint-Jean,3,1926-12-02 ,
